Number,First Name,Last Name,Email Address,Department,Division,Completed On,Respondent IP,Employee Commitment and Satisfaction:ECS_Q1,Employee Commitment and Satisfaction:ECS_Q2,Employee Commitment and Satisfaction:ECS_Q3,Employee Commitment and Satisfaction:ECS_Q4,Employee Commitment and Satisfaction:ECS_Q5,Employee Commitment and Satisfaction:ECS_Q6,Workplace Environment and Culture:WEC_Q1,Workplace Environment and Culture:WEC_Q2,Workplace Environment and Culture:WEC_Q3,Workplace Environment and Culture:WEC_Q4,Workplace Environment and Culture:WEC_Q5,Compensation & Benefits:CB_Q1,Compensation & Benefits:CB_Q2,Compensation & Benefits:CB_Q3,Compensation & Benefits:CB_Q4,Performance Management:PM_Q1,Performance Management:PM_Q2,Performance Management:PM_Q3,Performance Management:PM_Q4,Performance Management:PM_Q5,Performance Management:PM_Q6,Performance Management:PM_Q7,Career Development and Training:CDT_Q1,Career Development and Training:CDT_Q2,Career Development and Training:CDT_Q3,Career Development and Training:CDT_Q4,Career Development and Training:CDT_Q5,Career Development and Training:CDT_Q6,Communications:COMM_Q1,Communications:COMM_Q2,Communications:COMM_Q3,Communications:COMM_Q4,Team Effectiveness:TE_Q1,Team Effectiveness:TE_Q2,Team Effectiveness:TE_Q3,Team Effectiveness:TE_Q4,Team Effectiveness:TE_Q5,Job Stress:JS_Q1,Job Stress:JS_Q2,Job Stress:JS_Q3,Company Image:CI_Q1,Company Image:CI_Q2,Company Image:CI_Q3,Company Image:CI_Q4,Strategy:STRAT_Q1,Strategy:STRAT_Q2,Strategy:STRAT_Q3,"On a scale of zero to ten, how likely is it that you would recommend Company to friends as a great place to work?",What 2-3 things do you value most about working at Company?,What 2-3 things should Company begin to do?,What 2-3 things should Company stop doing?,Please provide suggestions for ongoing improvement to the performance feedback process.
10000058,FNAME59,LNAME59,,Field Operations,Southeast Region,2/13/2017 18:06,100.000.000.058,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,"The opportunity to make a difference
The fast paced work environment","Develop a structured training/onboarding program
Continue to focus on improving the COE - focus on quality not quantity",,Review the goals and incorporate more goals that are aligned with our vision - should use the results of our client surveys as a goal so everyone strives to get clients for life.
10000059,FNAME60,LNAME60,,Field Operations,Southwest Region,2/13/2017 18:13,100.000.000.059,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,7,"Communication is open and honest. I have a clear understanding of what is expected of me, of my responsibilities as a leader.",Let the stars shine and do their job. Sometimes there's so much 'technical' work that it takes away from simply spending time with a client without feeling rushed to get back to your desk to tend to an email.,na,
10000060,FNAME61,LNAME61,,Field Sales,Southeast Region,2/14/2017 0:12,100.000.000.060,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,10,"- Autonomy & ability to be self-directed while also having my manager help guide big-picture initiatives and execute my ideas
 - Trust between me and my immediate team and our inherent goal of improving our relationships/further strengthening our team
 ","- Trainings and presentation style : at the end of any training or presentation, consider adding a more thorough recap.  After 3-4 different group trainings, consider having a recap presentation of those 3-4 subjects.  We learn so much and a lot of info i","- Talent Quest...   If possible, could we put educational all on Confluence, and goal setting on SalesForce? Just a thought!
 - Having our OMs take orders for sales/marketing swag",
10000061,FNAME62,LNAME62,,PMO/HR/Executive,Corporate,2/14/2017 6:54,100.000.000.061,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Disagree,0,,,,
10000062,FNAME63,LNAME63,,Field Operations,Southeast Region,2/14/2017 7:35,100.000.000.062,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,8,"Good people, challenging work",celebrate more,?,Account for the fact that new employees start at all times of the year and are not necessarily fully aware of historical processes like Goal Setting.  Provide a quick refresher each cycle to get/keep everyone up to speed.
10000063,FNAME64,LNAME64,,Finance,Corporate,2/14/2017 9:18,100.000.000.063,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,9,,,,
10000064,FNAME65,LNAME65,,Finance,Corporate,2/14/2017 10:05,100.000.000.064,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,8,I have a great team and boss. I value seeing the Company improve and being able to help.,We need to really evaluate some of the managers/leaders in the company and their abilities to drive change and bring value that the Executive team is leading.,We need to stop spending money without regard for ROI or without fully understanding the impact of the costs vs revenue.,
10000065,FNAME66,LNAME66,,Production,Operations,2/14/2017 11:48,100.000.000.065,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,9,"Great co-workers.
Communication with Manager is top notch.
Company direction. (Been here a long time, most positive changes seen in years).",Continue to  value all clients and exceed client expectations.,,
10000066,FNAME67,LNAME67,,ECS,Marketing/Sales,2/15/2017 12:37,100.000.000.066,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,8,,,,
10000067,FNAME68,LNAME68,,Field Operations,Southeast Region,3/3/2017 13:06,100.000.000.067,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,8,"1. Meeting new people
2. Helping our clients during stressful jobs","1. Simplify some of their daily processes especially in Netsuite
2. Give more incentives for the court reporters",,
10000068,FNAME69,LNAME69,,Field Operations,Northeast Region,2/14/2017 13:25,100.000.000.068,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,7,"Most everyone in the company is easygoing and pleasant to deal with. I have no issue reaching out to anyone in the company in any of our offices for any needs or concerns. I value the fact that the company has a strong motto of putting clients needs first to provide excellent customer service. The company is very communicative with its workers whether through  new training, company surveys, etc.","Promote a positive work environment, understand work-life balance",I don't really see any problems,Always communicate and engage employees positively making them feel understood and appreciated.
10000069,FNAME70,LNAME70,,National Operations,Operations,2/14/2017 13:39,100.000.000.069,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,9,,"Matching 401K
Quiz employees on how well they understand Company's services and scheduling channels",,
10000070,FNAME71,LNAME71,,PMO/HR/Executive,Corporate,2/20/2017 9:55,100.000.000.070,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,8,,,,
10000071,FNAME72,LNAME72,,Center of Excellence,Shared Services,2/14/2017 14:31,100.000.000.071,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,6,"The team in COE is strong and knowledgable
That Company will always have business as this field never stops",,,
10000072,FNAME73,LNAME73,,Production,Operations,2/14/2017 15:08,100.000.000.072,Somewhat Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,1,,,,
10000073,FNAME74,LNAME74,,PMO/HR/Executive,Corporate,2/14/2017 15:18,100.000.000.073,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,7,,,,
10000074,FNAME75,LNAME75,,Center of Excellence,Shared Services,2/14/2017 16:21,100.000.000.074,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,"co workers
environment",n/a,n/a,n/a
10000075,FNAME76,LNAME76,,Field Operations,Northwest Region,2/14/2017 17:06,100.000.000.075,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,6,"I value having a steady schedule within regular business hours.  I enjoy having the freedom of weekends.

I value my supervisor and how much he supports me in my role.

I value my steady pay and benefits.","Company needs to provide more training for CoE team members.  
-When I find scheduling issues or errors my tickets to CoE management are not addressed.  
-I get several complaints a week that calls are being dropped or ignored when the CoE tries transferring to the local office.  
-Communication is not being logged regularly making it very hard when changes are being made to my calendar.","Company should stop making changes to the scheduling process without informing all parties affected.  We in the local office feel we are last to be informed of updates making it difficult to help clients, add jobs, complete scheduling.
-I was confronted for adding jobs to NetSuite as it is out of my core roles but was never told that this was strictly a CoE task.  I understand the process but cannot be held accountable for changes that I was never informed of.
-I sent two new audio transcription job to the CoE and was not provided a job number until several days after finally involving my ROM for assistance tracking down the request.  Court reporters and local offices cannot be held accountable for on-time turn in scores when jobs aren't being added timely by the teams who are trained to add them.  It proves frustrating when I could have realistically added the jobs within minutes.
I would appreciate better communication regarding scheduling.  The CoE's role greatly affects what we do in the local office.  Please keep us informed.",
10000076,FNAME77,LNAME77,,Order Management,Shared Services,2/14/2017 17:17,100.000.000.076,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,7,I value my compensation and the flexibility of management to help me balance my work and home life.,"hold Service providers accountable for the information that they submit to us.

provide better health coverage with an even lower deductible and or max pay out.

program netsuite to allow for quick data entry. i.e templates for order management.","stop restricting data to other departments, scheduling cannot see what OMT sees, OMT cannot see what production sees, invoicing cannot see what scheduling sees, etc. 

stop pushing conference room only jobs to OMT without valid information.",
10000077,FNAME78,LNAME78,,Finance,Corporate,2/14/2017 18:17,100.000.000.077,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,8,"stability. 
efforts toward excellence.
efforts toward ethical and fair business practices.",match a percentage of the employees' 401K plans.,,
10000078,FNAME79,LNAME79,,Onboarding/Case Management,Shared Services,2/14/2017 18:47,100.000.000.078,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,"Flexibility of my manager and the great relationship I have with her.
Company's willingness and desire to improve the company and our jobs.","Think about reporting and tracking of data earlier in the process.
Increase communication between offices, and acknowledge that a win for one is a win for all.","Stop people from making mistakes?
I can't think of anything.",Peer reviews maybe?  Having trouble thinking of this too.
10000079,FNAME80,LNAME80,,Collections,Shared Services,2/14/2017 18:35,100.000.000.079,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,9,,There should be more communication between departments in order to create an environment of empathy and understanding.,Company sends statements to our clients which are very difficult to understand. This is evident by the increased number of calls we receive the week after statements go out. I feel that a total revamp of the statement should be done in the spirit of 'getting it right'.,
10000080,FNAME81,LNAME81,,Production,Operations,2/14/2017 23:26,100.000.000.080,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Disagree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,2,First and foremost my co-workers. Secondly the benefits plan is still currently very affordable.,"Better pricing for our clients. By this I mean lower prices as opposed to 'competitive' pricing. Whenever I hear 'competitive' pricing that just means similar or the same as our competitors.
Secondly give the clients only what they requested and not more, unless the 'more' is complimentary which it isn't.",Stop with the employee 'goal settings' thing every year. Every single employee I have spoken to hates this and the 'goal settings' period is an unnecessary annoying and stressful time for all employees. Just tell us what you expect from us or what you need from us and we will do our very best to do it. I can't think of two life related goals and you expect me to have five work related goals? C'mon!!!,"Unfortunately, I think this company relies too much on metrics and ridiculous studies to evaluate and reward employees. Just have some faith and trust in your employees. The vast majority do a great job and the great job they do is difficult to measure via spreadsheet reports/metric."
10000081,FNAME82,LNAME82,,Production,Operations,2/15/2017 7:32,100.000.000.081,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,5,"haveing a job, like what i do and want to learn more about other dept.",take care of your ppl make sure your ppl or happy,make ppl accountable for what they do,
10000082,FNAME83,LNAME83,,Center of Excellence,Shared Services,2/15/2017 9:36,100.000.000.082,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Disagree,Strongly Disagree,Agree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,0,The ability to work remotely,"There is a 'clique' of upper management and if you aren't in it you can forget any kind of promotion. I have seen so many people hired from the outside (jobs were never even posted) or people that are related and hired get special treatment. Part of the problem is that this is happening at the VP level.

We should make the local offices accessible again. I know the COE was to provide centralized service and that is ok for scheduling and whatnot but people get upset when they are calling a local office for directions and they get someone who cant tell them how to get there, they are then put on hold and then have to wait until we can locate someone.  
I have personally heard from clients how frustrating it is the several 'levels' they have to go through  to get someone on the phone. I actually herd from a paralegal at Wilson Elser that when they call in to the COE they are asked to take a survey to win a cruise. She said this was very off putting for a lot of firms and they don't have time to sit on hold and be marketed to about winning a cruise.","Personally I think the amount of information the COE is responsible for is outrageous. Some days I take 70 calls and we receive at least 10 emails a day about who is out, someone new to contact, what new scheduling procedure, a new process that has to be followed, some new rule on the ECS spreadsheet. I really have no idea how anyone is supposed to retain all of that and perform well and if a mistake is made you are certainly in trouble. The processes are way to lengthy. For example if someone needs a location request, not only do you have to spend 20 minutes scheduling the job on the phone with them, you then have to create a ticket for a location request, and log the phone call. Meanwhile you get 30 seconds to wrap up your call. Its almost virtually impossible to do all of this while you are on the phone, not have dead air and be able to finish.  These clients just want to call and be done with what they need. What ends up happening is a backlog is created and you have to request to go into 'work' to complete it but if the phones are busy that is denied. The job is extremely stressful and feels very 'sweat shop' like in many ways. 
The clients are also frustrated at the amount of hold time and what they have to go through to get to the office if they just left something there or they need direction. This goes for the reporters as well.","This is too time consuming between the talent quest goals, surveys, etc. We had to beg for time in the COE to complete the talent quest goals. Also, the last all employee call Terrie had we were unable to attend and have not been afforded the opportunity to watch it unless it is on our own time."
